State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.43193	2.46645	2.48769	2.47707	2.58326	2.70539	2.81159	2.83017	2.82486	2.84345	2.75584	2.94434	3.08505	3.02929	3.11160	3.14877	3.23107	3.11160	3.11425	3.09832	3.27355
2	2.23978	2.16128	2.19268	2.23978	2.13512	2.18745	2.22931	2.30258	2.33398	2.27641	2.20315	2.20838	2.09848	2.03045	2.01475	1.98336	1.96766	2.02522	2.14558	2.16128	2.24501
3	1.08036	1.08693	1.07707	1.04911	1.00800	0.98005	0.98005	0.96854	0.95374	0.94881	0.93565	0.88632	0.86659	0.83863	0.81232	0.80410	0.76464	0.75970	0.78601	0.82055	0.83206
4	3.34981	3.35507	3.34695	3.34456	3.32594	3.30684	3.27771	3.23521	3.20226	3.17265	3.14209	3.06760	3.00839	2.96302	2.90429	2.83648	2.76437	2.68940	2.64165	2.58482	2.49696
5	2.92260	2.93251	2.93251	2.73437	2.77399	2.74427	2.63529	2.72446	2.56594	2.60557	2.51641	2.47678	2.31827	2.13003	2.03096	1.99133	1.94180	2.00124	1.96161	1.91207	1.86254
6	0.47047	0.47187	0.47384	0.47586	0.47738	0.47923	0.48176	0.48413	0.48665	0.48913	0.49149	0.49475	0.49762	0.50020	0.50177	0.50425	0.50689	0.50874	0.51122	0.51347	0.51566
7	1.34786	1.34695	1.34634	1.34604	1.34939	1.34680	1.34939	1.35030	1.35700	1.36932	1.39672	1.40600	1.41970	1.43325	1.44238	1.45699	1.46719	1.48880	1.50204	1.51254	1.52928
8	1.22053	1.28100	1.20933	1.31011	1.30115	1.37282	1.33027	1.39521	1.43776	1.44672	1.26084	1.26084	1.16678	1.20485	1.24740	1.22053	1.28996	1.24516	1.20485	1.25636	1.20485
9	2.65213	2.47926	2.66056	2.56358	2.48769	2.41601	2.50034	2.58045	2.62261	2.53407	2.58045	2.60997	2.71959	2.73224	2.74911	2.75332	2.63105	2.73224	2.73224	2.63948	2.59310
10	4.85008	4.74631	4.56607	4.46229	4.53330	4.38583	4.17282	4.00896	3.85603	3.62117	3.50101	3.45732	3.43001	3.48463	3.53925	3.61571	3.81234	3.86149	3.59387	3.57202	3.49009
