State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.60372	3.81460	4.00674	4.14264	4.02782	3.61309	3.25225	2.58446	2.12755	2.23299	2.24940	1.65659	1.71751	1.93776	2.38295	2.70630	3.17727	3.32489	3.25225	3.16087	3.07886
2	6.22111	6.25344	6.14721	5.64842	4.47994	3.29299	2.27230	1.55181	1.29780	1.77812	1.91667	1.30703	1.45944	2.09680	3.62552	7.62513	12.16511	15.52737	16.85750	17.16694	16.43722
3	1.76617	1.58041	1.29451	1.02168	0.80399	0.61097	0.55002	0.52680	0.50648	0.49633	0.49342	0.49342	0.49487	0.53116	0.58921	0.79238	1.38449	2.19719	3.11437	3.87918	4.58013
4	0.81674	0.76153	0.69874	0.62878	0.58032	0.53733	0.49392	0.46822	0.45347	0.44799	0.44714	0.46147	0.47580	0.48971	0.50488	0.54070	0.60898	0.70801	0.83191	0.96846	1.10922
5	1.80991	1.68750	1.59132	1.80991	1.84488	1.78368	1.56509	1.19786	0.97927	0.90933	0.91807	0.90933	0.86561	0.92681	0.97927	1.11917	1.19786	1.13666	1.18038	1.24158	1.17163
6	0.36312	0.35955	0.35643	0.35390	0.35102	0.34834	0.34640	0.34328	0.34154	0.34015	0.33852	0.33767	0.33886	0.34015	0.34343	0.34521	0.34784	0.34968	0.35171	0.35494	0.35811
7	1.91409	1.87231	1.81335	1.71153	1.57963	1.41938	1.23818	1.06692	0.94764	0.88048	0.85053	0.85483	0.91070	0.98337	1.05859	1.14201	1.20984	1.26961	1.32025	1.34926	1.37210
8	3.68612	3.90353	4.15652	4.65855	5.38984	6.00453	6.15869	5.55784	4.43323	4.53996	4.36010	3.06749	2.88367	2.71765	2.52989	2.28085	1.97845	1.71558	1.53374	1.40527	1.33610
9	4.45055	4.91198	5.83484	7.28983	9.36254	12.88279	17.89153	24.92087	30.96038	32.56422	30.55849	26.13398	19.39489	13.95078	9.96909	7.15959	5.18363	3.97052	3.13325	2.73508	2.42250
10	7.36061	8.92721	10.97102	13.58845	16.84697	20.05730	22.51083	24.01959	24.94991	24.57393	28.68083	39.18910	45.81702	49.10929	48.80079	43.87926	35.98841	28.26628	22.05291	17.25670	13.73306
