State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	1.31702	1.27366	2.21485	1.39415	2.75347	2.24947	2.92068	0.36961
2	0.66817	0.97263	1.92762	2.14275	2.19814	1.91673	5.57102	0.21767
3	2.12641	0.36029	1.08333	2.18923	0.93575	0.49344	1.21455	0.24100
4	7.32245	0.68732	3.59267	2.14656	3.14194	0.44716	0.66180	0.31698
5	0.35294	2.08598	3.18847	1.18577	2.51667	0.91810	1.28197	0.60378
6	62.20796	0.24187	0.45005	0.78297	0.49154	0.33853	0.38000	1.27653
7	22.97422	1.06966	1.21877	1.04308	1.39687	0.85055	1.34996	0.67103
8	1.56134	3.71077	1.41202	0.75732	1.26097	4.36023	3.61064	0.66165
9	0.82929	29.74084	4.47971	1.02543	2.58072	30.55943	12.38596	0.38937
10	0.64020	32.89445	6.47026	1.93155	3.50138	28.67689	21.84894	0.21620
Base	100	0.6928318444	2.4881363217	42.7405239504	0.0009417986	0.0010672136	3.4589586137	37.2616995321
