State (Emission order)	H3k9me3	H4k20me1	H3k36me3	H3k79me2	H3k27ac	H3k4me2	H3k9ac	H3k4me3	H2az	H3k4me1
1	0.006321777295716222	0.032866632061685774	0.07153657953736056	0.02978960736327864	0.15933047399042785	0.04172233816984152	0.03849457492507248	0.027309636864908757	0.08027182052655547	0.7023947280078748
2	0.011777602871858018	0.1325678628625739	0.2811303480482339	0.9244562862726617	0.2673195547927277	0.24675041588170937	0.17878958858181096	0.13700280089630634	0.036099624594016666	0.7239409586171865
3	0.015112952970632523	0.03190447095509087	0.14544651255609975	0.6786352592663639	0.008492080106181426	3.2177659090848796E-4	0.002436876099953795	0.0016328951617960935	6.54136086933357E-4	0.06494119674488423
4	0.0028868678406055756	0.00948664967800362	0.1774506228676794	0.01942378212002527	0.008057113406745359	1.0000268441215233E-4	9.19117902783861E-4	6.459756650192985E-4	2.20919244963631E-4	0.00485343670351349
5	0.3964548153699557	0.08871230558712442	0.15533061447985647	0.017571271025493152	0.04170462461093029	0.017830637819475616	0.005134375964139058	0.016812801460492553	0.013479904342631615	0.020242627765759122
6	0.005405392818321784	0.0019516976603009316	6.23922578072579E-4	5.2600846749279245E-5	7.832951904382913E-4	1.2765533030754502E-4	9.259949564354311E-5	4.5572889735451684E-4	5.497772182854481E-4	4.055135925279605E-4
7	0.0035861290950144507	0.01373556140788596	0.0020953003499842708	5.064979044043266E-4	0.0035141405413183784	2.535664890052343E-4	4.093489437141213E-4	9.762568013282036E-4	0.011458199809174998	0.006441970731201647
8	0.014237904958556624	0.00478577602409969	0.00436684546993342	0.0013845452378561489	0.05935381375885928	0.06236461296090562	0.024544032126365023	0.04465413766675698	0.645402850340223	0.3687261813377572
9	0.016992237107912745	0.013915074602516977	0.019833609952151426	0.03859977745143112	0.6671154253079452	0.8042738903318003	0.6914293109244818	0.6620186387621915	0.8257694232491686	0.591729878888094
10	0.00911574785025541	0.07620700834762692	0.10849045982489944	0.9084768824193207	0.8168955707251236	0.9813720730303105	0.965490059702108	0.9483083417466359	0.5000693221395679	0.34116945509202984
